Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
12/9/13,787,899.99,766.66,899.9,28510.03873,24732146.89,867.4890668
12/8/13,693.3,797,651,787,27465.08271,20123346.8,732.6883743
12/7/13,809.72,844,542.38,693.3,79852.42378,56441847.09,706.8269743
12/6/13,1020.51,1033.13,796.73,814.91,52688.66174,47122565.45,894.3587461
12/5/13,1135,1138.58,848.42,1023.87,55262.65699,53884378.32,975.0594933
12/4/13,1055,1153.27,1052.1,1132.01,14433.50978,16043748.47,1111.562518
12/3/13,1037.11,1088,1000,1055,12567.59168,13203131.1,1050.569706
12/2/13,955,1057,925.16,1047.47,31516.72531,31532295.81,1000.494039
12/1/13,1119.52,1123.11,795.6,955,61544.38082,58200765.26,945.6714729
11/30/13,1131.99,1163,1080,1119.52,12907.55909,14615036.92,1132.285106
11/29/13,1012,1141,988.22,1131.99,21873.31335,23302931.99,1065.359035
11/28/13,963.98,1050.18,931,1012.98,36898.59365,36845640.48,998.5649001
11/27/13,915.01,969,879.99,963.98,30325.52974,28417752.64,937.090065
11/26/13,811.95,919,801,916.3,29793.02509,25303731.28,849.3172883
11/25/13,800.01,838.2,770.1,817.88,23042.05233,18613262.58,807.7953439
11/24/13,829.15,842.78,747,800.05,20130.68749,16005407.91,795.0750773
11/23/13,794,874.81,785,829.15,20338.86461,16939266.44,832.8521165
11/22/13,720,799.8,683.2,795,25125.12846,18684196.02,743.6457906
11/21/13,600,730,580.37,720,30720.73129,20465236.22,666.1702165
11/20/13,536.01,619,440,599,57711.50722,31281411.68,542.0307524
11/19/13,669,755,378,536.01,71560.94597,42781180.46,597.8286044
11/18/13,478.1,669.55,471.23,669.01,57089.07895,31381658.85,549.6963591
11/17/13,434.53,480,434.53,477.38,25991.59517,12023172.92,462.5792623
11/16/13,412.07,447.47,406.92,434.53,17983.46004,7793030.608,433.3443392
11/15/13,416.88,431.36,390,412,32323.20624,13499273.23,417.6341027
11/14/13,393.5,421.97,381,416.95,31638.47744,12964568.34,409.7721948
11/13/13,354.94,399.89,354.94,393.5,38689.80193,14659881.49,378.9081555
11/12/13,343.63,357,340.01,354.96,19748.2815,6921644.43,350.4935064
11/11/13,323,349.9,310.1,343.91,26943.37824,9015515.231,334.6096822
11/10/13,341.24,341.24,265.01,323,67237.40748,20149735.56,299.6804355
11/9/13,333.9,363.65,298.95,341.24,44361.21178,15025763.08,338.7139909
11/8/13,291,334.45,288.81,334,40186.15864,12776887.1,317.942484
11/7/13,263.24,297.8,263.24,291,49703.8518,14082029.35,283.3186734
11/6/13,242.9,265,241.11,263.24,40026.70687,10223187.03,255.4091463
11/5/13,227.29,250.79,226,242.9,42583.70083,10150722.39,238.3710715
11/4/13,210,230.4,207.22,226.83,28261.78815,6231108.008,220.4781939
11/3/13,204.86,210,203.51,210,11227.96296,2318517.974,206.4949789
11/2/13,202.14,205.15,201.2,204.86,6600.098259,1347852.008,204.2169609
11/1/13,203.54,203.54,200.23,202.15,4962.809002,1005501.894,202.6074131
10/31/13,197.58,203.75,195.1,203.54,13741.49075,2753814.518,200.4014389
10/30/13,204,206,195,197.54,25494.14807,5125567.007,201.0487659
10/29/13,196.62,205,195.32,204.69,16744.50649,3351774.653,200.1715999
10/28/13,194.99,197.5,190.8,196.62,12248.66456,2386611.422,194.8466635
10/27/13,180.39,195,179.5,194,10095.56583,1905642.763,188.760372
10/26/13,187.5,190,177,179.56,9644.320719,1756970.528,182.1767006
10/25/13,194,194,167.67,186.6,32779.54291,5880692.277,179.4012898
10/24/13,203.94,206.6,156.2,193.87,55593.92701,10335518.32,185.9109236
10/23/13,189.74,203.96,185,203.96,24326.01475,4773924.042,196.2476834
10/22/13,180.15,196.27,179,189.75,41865.06715,7918494.249,189.1432353
10/21/13,166.6,181.93,166.05,180.13,33107.72111,5817807.454,175.7235853
10/20/13,166,166.6,162.54,166.59,5667.345882,936151.9043,165.1834781
10/19/13,152.89,172,152.44,166,37966.98264,6198648.272,163.2641796
10/18/13,143.94,154.69,143.23,152.89,23007.23098,3412142.6,148.3073997
10/17/13,137.54,145,135,143.94,16767.05248,2377733.443,141.8098647
10/16/13,142.75,147,137.38,137.56,26332.89632,3755375.388,142.6115587
10/15/13,135.43,147.39,134.09,142.76,22232.07911,3088042.727,138.9003121
10/14/13,132.83,138.22,132,135.42,21256.28057,2875362.926,135.2712163
10/13/13,127.58,133,127.57,132.82,12574.14781,1635271.297,130.0502683
10/12/13,127.38,128,126.01,127.98,7571.272863,964578.8169,127.3998222
10/11/13,126.8,127.42,125.93,127.38,7866.704908,996941.1858,126.7291957
10/10/13,125.79,126.8,124.9,126.8,11382.14627,1432857.872,125.8864399
10/9/13,124.5,127.99,122.3,125.9,18933.76126,2371894.592,125.2732914
10/8/13,123.5,125.17,122.17,124.13,13183.37385,1633356.505,123.8951822
10/7/13,122.49,124.49,120.11,123.5,11885.1346,1461029.42,122.9291438
10/6/13,121.25,122.49,121.13,122.49,3926.341319,478718.002,121.9247037
10/5/13,121.94,122.29,121.11,121.2,2942.636011,357487.4325,121.4854406
10/4/13,117.62,122.98,116.48,121.94,13194.57595,1592026.859,120.6576751
10/3/13,103.85,118.79,102,117.63,26112.76387,2880250.993,110.3005031
10/2/13,127.31,127.8,85,103.85,60639.38899,6648985.994,109.6479715
10/1/13,126.25,127.93,125.54,127.33,7513.834961,955656.5336,127.1862556
9/30/13,127,127.53,122.77,126.25,11530.52472,1452542.554,125.9736733
9/29/13,126.5,128.8,126.08,127.01,6745.394504,859516.0242,127.4226472
9/28/13,126.95,127,124.01,126.54,6320.258364,797901.7584,126.2451173
9/27/13,124.85,126.96,124.35,126.95,12117.32342,1525024.164,125.8548701
9/26/13,123.32,124.9,123,124.84,7784.843209,966665.0012,124.1727001
9/25/13,123.75,125,123.23,123.25,8053.184401,1001020.176,124.3011616
9/24/13,122.81,124.01,121.77,123.86,10183.16714,1251562.313,122.9050153
9/23/13,123.27,123.99,121.54,122.63,7736.933958,952118.1494,123.0614291
9/22/13,123.38,123.5,122.35,123.27,2882.091302,354432.2842,122.9774657
9/21/13,122.92,124.1,121.7,123.39,4154.192024,511630.1692,123.159971
9/20/13,124.17,126.02,121.16,122.91,10505.08009,1300731.892,123.8193218
9/19/13,127,127.95,123.02,124.18,10236.24814,1284383.541,125.4740529
9/18/13,126.92,128,124.2,127,13495.71105,1717516.511,127.2638769
9/17/13,126.28,127.69,125.47,126.92,8852.613572,1122508.398,126.7996608
9/16/13,125.36,126.71,124.03,126.27,7602.347852,956623.3818,125.8326244
9/15/13,124.49,126.25,123,125.36,5360.88243,668057.1241,124.6170071
9/14/13,127.71,128,123.05,124.49,8711.863836,1091621.45,125.3028595
9/13/13,126.38,128.79,125.05,127.71,9309.949196,1188163.736,127.6230096
9/12/13,127.54,128.5,123.1,126.38,13856.21063,1758477.138,126.9089497
9/11/13,122.08,127.72,118,127.55,18550.21386,2279418.663,122.8782957
9/10/13,121.68,124.26,120.8,122.07,11319.88975,1390108.093,122.8022644
9/9/13,118.37,124.13,115,121.68,21345.72634,2549732.459,119.4493183
9/8/13,119.91,120.94,116,118.34,5458.685891,646449.3152,118.4258131
