Date,Open,High,Low,Close,Volume_BTC,Volume_Currency,WeightedPrice
4/18/12,4.97587,5.1782,4.96,5.1178,79130.20261,401659.3994,5.07593038
4/17/12,4.95914,5.02207,4.925,4.97587,30645.71249,151983.9614,4.959387434
4/16/12,4.969,4.979,4.90988,4.93201,31159.51521,154236.3404,4.94989538
4/15/12,4.9597,4.98,4.86,4.96892,33343.94957,163921.5405,4.916080507
4/14/12,4.93989,5.03,4.90001,4.9597,63887.71374,317996.1047,4.977421887
4/13/12,4.89102,4.94464,4.73001,4.93999,93111.85599,452385.8722,4.858520619
4/12/12,4.9277,4.946,4.84272,4.91968,46368.67786,226872.2427,4.892790849
4/11/12,4.83641,4.98,4.79111,4.9279,67035.82976,327827.0898,4.890326426
4/10/12,4.87178,4.9,4.76391,4.83668,53101.77473,256671.3676,4.833574187
4/9/12,4.7899,4.87899,4.73155,4.87191,39243.69498,187709.2967,4.783170821
4/8/12,4.68717,4.8,4.62,4.79252,41972.7725,197917.3166,4.715373916
4/7/12,4.94991,4.95002,4.68715,4.68715,80945.74764,388783.6832,4.803015532
4/6/12,4.9189,4.98,4.88001,4.94991,58211.4457,287735.1257,4.942930419
4/5/12,4.92469,4.93495,4.87,4.919,33807.18377,165880.1989,4.906655344
4/4/12,4.9496,4.97,4.89,4.91008,51040.82241,251784.9705,4.933011628
4/3/12,4.974,4.99499,4.81,4.952,78481.20602,384710.3269,4.901942088
4/2/12,4.78207,5.08,4.76,4.974,80663.9807,398480.6142,4.940006813
4/1/12,4.88002,4.92,4.73,4.827,35950.60301,172377.672,4.794847862
3/31/12,4.848,4.95,4.82011,4.90873,35529.09268,173670.9319,4.888133042
3/30/12,4.8084,4.88,4.71699,4.86,39071.8439,187496.4488,4.798761209
3/29/12,4.76102,4.86092,4.71001,4.80838,37974.76206,180963.5684,4.765364115
3/28/12,4.824,4.8365,4.72102,4.788,38017.11554,182050.5005,4.788645797
3/27/12,4.625,4.84592,4.49,4.81125,73431.75816,342922.078,4.66994236
3/26/12,4.55001,4.73793,4.51588,4.61911,69838.07163,324896.2759,4.652136983
3/25/12,4.676,4.68294,4.3,4.55001,71556.25786,322035.2252,4.500448106
3/24/12,4.68607,4.72899,4.59595,4.676,39068.59278,181738.1609,4.651771358
3/23/12,4.73593,4.79,4.6,4.68596,54129.93762,254329.7183,4.698503813
3/22/12,4.79439,4.88,4.59768,4.7043,58069.91657,276226.8982,4.756798606
3/21/12,4.83692,4.87,4.75,4.81488,46436.88488,223605.574,4.815257841
3/20/12,4.67216,4.89999,4.58778,4.8379,66343.85263,318065.3088,4.794194129
3/19/12,5.2553,5.3099,4.5,4.6939,188889.0672,922722.007,4.88499425
3/18/12,5.216,5.34,5.211,5.27943,22857.0126,120310.2527,5.263603552
3/17/12,5.34388,5.3998,5.21212,5.2159,39100.23038,207915.5644,5.317502284
3/16/12,5.3479,5.4,5.3,5.34388,32718.78563,174983.1593,5.348094558
3/15/12,5.39298,5.445,5.25501,5.32656,41077.61072,219063.8081,5.332924781
3/14/12,5.27185,5.45,5.25173,5.38,62889.72419,337721.8486,5.370064075
3/13/12,4.89006,5.41,4.86511,5.27,127325.0537,656673.8537,5.157459863
3/12/12,4.90891,4.95,4.8561,4.89005,22048.15316,108198.9786,4.907394184
3/11/12,4.83316,4.99,4.8111,4.91,42442.93317,208576.6771,4.914285172
3/10/12,4.86113,4.91309,4.753,4.83315,28070.73648,135426.1779,4.824461162
3/9/12,4.93044,4.949,4.821,4.86112,32723.03272,160227.8507,4.896485361
3/8/12,4.93752,5,4.7551,4.93016,58089.40265,283093.8145,4.873415831
3/7/12,4.9901,5.05,4.84,4.93752,46167.56493,227645.8587,4.930861289
3/6/12,4.9888,5.07,4.9,4.9901,44532.26671,221579.3449,4.975703266
3/5/12,4.82003,5.05,4.82001,4.98427,65828.17673,325526.7,4.945096707
3/4/12,4.61439,4.94999,4.612,4.82001,58826.16395,283142.4108,4.813205414
3/3/12,4.705,4.77995,4.51,4.61436,40075.05615,187646.6446,4.682380079
